,domain_name,task_name,action_repeat,decoder_var,trial_id,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
199,reacher,easy,4.0,0.004,0,871.2999877929688,1990000,1990.0
200,reacher,easy,4.0,0.004,0,856.2999877929688,2000000,2000.0
0,reacher,easy,4.0,0.004,1,60.79999923706055,0,0.0
1,reacher,easy,4.0,0.004,1,68.19999694824219,10000,10.0
2,reacher,easy,4.0,0.004,1,127.69999694824219,20000,20.0
3,reacher,easy,4.0,0.004,1,221.3000030517578,30000,30.0
4,reacher,easy,4.0,0.004,1,282.6000061035156,40000,40.0
5,reacher,easy,4.0,0.004,1,246.6999969482422,50000,50.0
6,reacher,easy,4.0,0.004,1,186.89999389648438,60000,60.0
7,reacher,easy,4.0,0.004,1,220.3000030517578,70000,70.0
8,reacher,easy,4.0,0.004,1,385.20001220703125,80000,80.0
9,reacher,easy,4.0,0.004,1,328.6000061035156,90000,90.0
10,reacher,easy,4.0,0.004,1,585.7000122070312,100000,100.0
11,reacher,easy,4.0,0.004,1,345.8999938964844,110000,110.0
12,reacher,easy,4.0,0.004,1,628.5,120000,120.0
13,reacher,easy,4.0,0.004,1,521.2999877929688,130000,130.0
14,reacher,easy,4.0,0.004,1,300.70001220703125,140000,140.0
15,reacher,easy,4.0,0.004,1,227.39999389648438,150000,150.0
16,reacher,easy,4.0,0.004,1,414.5,160000,160.0
17,reacher,easy,4.0,0.004,1,348.6000061035156,170000,170.0
18,reacher,easy,4.0,0.004,1,461.1000061035156,180000,180.0
19,reacher,easy,4.0,0.004,1,842.5,190000,190.0
20,reacher,easy,4.0,0.004,1,565.4000244140625,200000,200.0
21,reacher,easy,4.0,0.004,1,552.7000122070312,210000,210.0
22,reacher,easy,4.0,0.004,1,575.5999755859375,220000,220.0
23,reacher,easy,4.0,0.004,1,638.2000122070312,230000,230.0
24,reacher,easy,4.0,0.004,1,646.0,240000,240.0
25,reacher,easy,4.0,0.004,1,742.2000122070312,250000,250.0
26,reacher,easy,4.0,0.004,1,733.7999877929688,260000,260.0
27,reacher,easy,4.0,0.004,1,736.9000244140625,270000,270.0
28,reacher,easy,4.0,0.004,1,598.7000122070312,280000,280.0
29,reacher,easy,4.0,0.004,1,926.4000244140625,290000,290.0
30,reacher,easy,4.0,0.004,1,761.2999877929688,300000,300.0
31,reacher,easy,4.0,0.004,1,718.2999877929688,310000,310.0
32,reacher,easy,4.0,0.004,1,738.9000244140625,320000,320.0
33,reacher,easy,4.0,0.004,1,778.5999755859375,330000,330.0
34,reacher,easy,4.0,0.004,1,850.5999755859375,340000,340.0
