,domain_name,task_name,action_repeat,decoder_var,trial_id,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
136,finger,spin,1.0,0.004,0,977.0,1360000,1360.0
137,finger,spin,1.0,0.004,0,888.5999755859375,1370000,1370.0
138,finger,spin,1.0,0.004,0,984.4000244140625,1380000,1380.0
139,finger,spin,1.0,0.004,0,988.2999877929688,1390000,1390.0
140,finger,spin,1.0,0.004,0,983.0,1400000,1400.0
141,finger,spin,1.0,0.004,0,986.2000122070312,1410000,1410.0
142,finger,spin,1.0,0.004,0,986.7000122070312,1420000,1420.0
143,finger,spin,1.0,0.004,0,985.7999877929688,1430000,1430.0
144,finger,spin,1.0,0.004,0,985.4000244140625,1440000,1440.0
145,finger,spin,1.0,0.004,0,981.5,1450000,1450.0
146,finger,spin,1.0,0.004,0,983.5,1460000,1460.0
147,finger,spin,1.0,0.004,0,985.0,1470000,1470.0
148,finger,spin,1.0,0.004,0,985.9000244140625,1480000,1480.0
149,finger,spin,1.0,0.004,0,984.0,1490000,1490.0
150,finger,spin,1.0,0.004,0,983.7999877929688,1500000,1500.0
151,finger,spin,1.0,0.004,0,987.5999755859375,1510000,1510.0
152,finger,spin,1.0,0.004,0,981.7000122070312,1520000,1520.0
153,finger,spin,1.0,0.004,0,987.5,1530000,1530.0
154,finger,spin,1.0,0.004,0,987.2000122070312,1540000,1540.0
155,finger,spin,1.0,0.004,0,985.5,1550000,1550.0
156,finger,spin,1.0,0.004,0,983.5999755859375,1560000,1560.0
157,finger,spin,1.0,0.004,0,985.0,1570000,1570.0
158,finger,spin,1.0,0.004,0,985.4000244140625,1580000,1580.0
159,finger,spin,1.0,0.004,0,985.9000244140625,1590000,1590.0
160,finger,spin,1.0,0.004,0,989.2999877929688,1600000,1600.0
161,finger,spin,1.0,0.004,0,981.7000122070312,1610000,1610.0
162,finger,spin,1.0,0.004,0,987.2999877929688,1620000,1620.0
163,finger,spin,1.0,0.004,0,983.5999755859375,1630000,1630.0
164,finger,spin,1.0,0.004,0,985.4000244140625,1640000,1640.0
165,finger,spin,1.0,0.004,0,983.9000244140625,1650000,1650.0
166,finger,spin,1.0,0.004,0,986.2000122070312,1660000,1660.0
167,finger,spin,1.0,0.004,0,990.0,1670000,1670.0
168,finger,spin,1.0,0.004,0,987.5999755859375,1680000,1680.0
169,finger,spin,1.0,0.004,0,989.7999877929688,1690000,1690.0
170,finger,spin,1.0,0.004,0,984.2000122070312,1700000,1700.0
171,finger,spin,1.0,0.004,0,985.7999877929688,1710000,1710.0
172,finger,spin,1.0,0.004,0,984.2999877929688,1720000,1720.0
173,finger,spin,1.0,0.004,0,982.7000122070312,1730000,1730.0
174,finger,spin,1.0,0.004,0,984.0,1740000,1740.0
175,finger,spin,1.0,0.004,0,990.0,1750000,1750.0
176,finger,spin,1.0,0.004,0,988.0999755859375,1760000,1760.0
